TransactionID,CustomerID,ProductID,ScarcityMessage,CountdownTimer,RecommendedLabel,InfluencerCampaign,FreeShipping,TrendingBadge,Purchased,Quantity,FinalAmount,DecisionTimeMinutes,Decision_Speed,Age,Gender,City,IncomeLevel,Occupation,LoyaltyMember,YearsAsCustomer,BrandFamiliarity,Age_Group,Years_As_Customer_Range,Category,Brand,OriginalPrice,CurrentPrice,Rating,ReviewCount,Discount_Percentage
57,820,220,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,2,53684.4,8.32,Fast,25,Female,Hyderabad,High,Doctor,No,0,Low,Gen Z,New Customer,Beauty,Nivea,38346,26842.2,3.6,2400,30
58,232,178,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,3,126420,10.99,Medium,48,Female,Chennai,Middle,Designer,Yes,3,Medium,Mature Adults,3-5 Years,Home,Philips,42135,42135,4.3,695,0
59,1116,155,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,1,4,124531.2,2.51,Fast,58,Male,Kolkata,High,Doctor,No,0,Medium,Seniors,New Customer,Home,Ikea,38916,31132.8,4.5,2136,20
60,1025,8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,14.18,Medium,55,Female,Bengaluru,Low,Designer,No,0,Low,Mature Adults,New Customer,Electronics,Apple,24718,21010.3,3.6,1487,15
61,1384,34,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,22843.9,9.71,Fast,21,Female,Hyderabad,Middle,Designer,No,0,Medium,Gen Z,New Customer,Electronics,Dell,32627,22838.9,4.3,4306,30
62,1118,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,19.34,Medium,30,Male,Mumbai,Low,Teacher,Yes,1,Medium,Young Adult,1-2 Years,Electronics,Sony,17501,16625.95,4.2,2078,5
63,550,256,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,3,129578.85,6.63,Fast,26,Female,Pune,Middle,Business,Yes,8,Medium,Young Adult,6-10 Years,Books,Oxford,45461,43187.95,4.4,2409,5
64,1452,256,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,2,86385.9,6.76,Fast,57,Male,Hyderabad,High,Teacher,Yes,4,Medium,Seniors,3-5 Years,Books,Oxford,45461,43187.95,4.4,2409,5
65,617,21,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,20.08,Medium,43,Male,Kolkata,Low,Freelancer,Yes,8,Medium,Mid Career,6-10 Years,Electronics,Apple,16616,14954.4,4.6,2808,10
66,489,14,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,20.21,Medium,28,Female,Chennai,Low,Teacher,No,0,Low,Young Adult,New Customer,Electronics,Samsung,18748,17810.6,3.8,3176,5
67,1359,235,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,13.7,Medium,25,Male,Hyderabad,Low,Analyst,Yes,3,Medium,Gen Z,3-5 Years,Beauty,Lakme,46295,39350.75,4.1,1463,15
68,556,158,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,2,4325.2,6.61,Fast,50,Male,Bengaluru,Low,Business,Yes,1,Medium,Mature Adults,1-2 Years,Home,Prestige,2697,2157.6,4.8,2537,20
69,115,93,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,52547.6,7.32,Fast,44,Male,Pune,Low,Doctor,No,0,Low,Mid Career,New Customer,Fashion,Nike,32836,26268.8,4.2,3785,20
70,705,185,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,17.05,Medium,53,Male,Bengaluru,Middle,Manager,No,0,High,Mature Adults,New Customer,Beauty,Maybelline,1184,1006.4,4.3,1108,15
71,1194,71,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,4,156919.2,16.1,Medium,55,Male,Mumbai,Middle,Manager,No,0,Medium,Mature Adults,New Customer,Fashion,Adidas,49031,39224.8,4.4,4852,20
72,285,60,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1,2,49849.8,17.47,Medium,36,Female,Hyderabad,Low,Doctor,No,0,Medium,Mid Career,New Customer,Electronics,Samsung,35607,24924.9,4.8,3853,30
73,695,111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,33190.6,16.79,Medium,46,Female,Hyderabad,High,Designer,No,0,Medium,Mature Adults,New Customer,Fashion,Adidas,19518,16590.3,5,20,15
74,195,269,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,1,1,2213.6,19.94,Medium,42,Male,Chennai,High,Manager,Yes,1,Medium,Mid Career,1-2 Years,Books,Pearson,3681,2208.6,4,1807,40
75,1030,231,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,17.12,Medium,50,Female,Ahmedabad,Middle,Freelancer,Yes,2,Low,Mature Adults,1-2 Years,Beauty,L'Oreal,47956,40762.6,5,2563,15
76,714,58,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,4,117286,13.44,Medium,42,Male,Pune,High,Business,No,0,High,Mid Career,New Customer,Electronics,Apple,34490,29316.5,4.2,3042,15
77,496,169,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,13230,22.15,Medium,59,Male,Bengaluru,High,Engineer,Yes,3,Medium,Seniors,3-5 Years,Home,Prestige,13225,13225,4,1921,0
78,341,266,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,13.65,Medium,65,Female,Ahmedabad,Low,Teacher,Yes,3,Medium,Seniors,3-5 Years,Books,Penguin,10355,10355,4.6,20,0
79,847,286,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,4,153649.2,8.53,Fast,46,Male,Kolkata,Middle,Business,Yes,5,Low,Mature Adults,3-5 Years,Books,HarperCollins,40434,38412.3,4.3,5517,5
80,1005,229,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,10390.6,27.18,Slow,34,Male,Ahmedabad,Middle,Doctor,Yes,1,High,Young Adult,1-2 Years,Beauty,Nivea,5767,5190.3,4.3,636,10
81,1411,39,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,30738.4,10.48,Medium,52,Male,Bengaluru,Low,Freelancer,No,0,High,Mature Adults,New Customer,Electronics,Samsung,43912,30738.4,4.3,1961,30
82,656,73,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,10.97,Medium,65,Female,Ahmedabad,Middle,Designer,No,0,High,Seniors,New Customer,Fashion,H&M,1820,1820,4.4,3907,0
83,242,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,11.04,Medium,56,Male,Chennai,Middle,Business,No,0,Low,Seniors,New Customer,Fashion,H&M,3271,2943.9,3.7,2623,10
84,1250,46,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,23.35,Medium,56,Male,Hyderabad,Low,Designer,No,0,Low,Seniors,New Customer,Electronics,Samsung,27304,27304,4.3,4243,0
85,945,53,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,3,102666.3,9.84,Fast,34,Female,Bengaluru,Low,Engineer,No,0,Medium,Young Adult,New Customer,Electronics,Samsung,38019,34217.1,4.2,3227,10
86,1051,95,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,2169,18.96,Medium,35,Male,Hyderabad,Low,Student,No,0,Medium,Young Adult,New Customer,Fashion,Adidas,2892,2169,4,20,25
87,146,167,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0,0,0,30.31,Slow,54,Male,Hyderabad,Low,Analyst,No,0,Medium,Mature Adults,New Customer,Home,Ikea,4173,2503.8,4.3,1281,40
88,469,120,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,23.64,Medium,61,Female,Pune,Middle,Manager,No,0,High,Seniors,New Customer,Fashion,H&M,22194,21084.3,4,4034,5
89,1152,127,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,21.07,Medium,28,Male,Mumbai,Low,Business,Yes,3,Low,Young Adult,3-5 Years,Home,Prestige,37273,31682.05,5,4358,15
90,1249,74,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,2,9466.8,6.99,Fast,46,Female,Delhi,Middle,Manager,Yes,7,Low,Mature Adults,6-10 Years,Fashion,Adidas,6762,4733.4,3.8,123,30
91,653,46,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,26.08,Slow,53,Male,Pune,Middle,Freelancer,No,0,High,Mature Adults,New Customer,Electronics,Samsung,27304,27304,4.3,4243,0
92,1208,300,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,16.49,Medium,51,Female,Pune,Middle,Freelancer,Yes,8,Low,Mature Adults,6-10 Years,Books,HarperCollins,18507,14805.6,4.1,3179,20
93,1263,180,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,4,54904.8,5.81,Fast,29,Female,Delhi,Low,Doctor,No,0,Medium,Young Adult,New Customer,Home,Ikea,22877,13726.2,4.4,1010,40
94,582,69,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,2,34874.5,8.54,Fast,57,Male,Mumbai,Middle,Manager,No,0,Low,Seniors,New Customer,Fashion,Nike,18355,17437.25,4,1920,5
95,1348,243,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,36342,2.82,Fast,49,Female,Ahmedabad,High,Manager,Yes,7,Medium,Mature Adults,6-10 Years,Books,HarperCollins,40380,36342,4,20,10
96,433,250,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,0,8.53,Fast,28,Male,Chennai,High,Business,Yes,2,Medium,Young Adult,1-2 Years,Books,Pearson,43363,39026.7,3.9,20,10
97,360,291,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,4,109859,4.3,Fast,58,Female,Chennai,Middle,Business,No,0,Medium,Seniors,New Customer,Books,Penguin,28905,27459.75,4.4,1752,5
98,1024,48,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,2,31378.8,1,Fast,33,Male,Chennai,High,Designer,No,0,Medium,Young Adult,New Customer,Electronics,Dell,26149,15689.4,4.1,20,40
99,956,192,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,1,1,15621.3,6.51,Fast,56,Female,Chennai,Middle,Manager,Yes,1,Medium,Seniors,1-2 Years,Beauty,Maybelline,18378,15621.3,3.5,1553,15
100,210,295,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,23308,23.09,Medium,45,Female,Mumbai,Middle,Engineer,No,0,Medium,Mid Career,New Customer,Books,HarperCollins,29135,23308,4.6,959,20
101,1250,243,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,1,36342,8.24,Fast,56,Male,Hyderabad,Low,Designer,No,0,Low,Seniors,New Customer,Books,HarperCollins,40380,36342,4,20,10
102,300,68,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,21.23,Medium,64,Female,Bengaluru,Middle,Manager,No,0,Low,Seniors,New Customer,Fashion,Adidas,41889,35605.65,3.9,5289,15
103,1208,268,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,19.32,Medium,51,Female,Pune,Middle,Freelancer,Yes,8,Low,Mature Adults,6-10 Years,Books,HarperCollins,34244,20546.4,4,2585,40
104,12,127,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1,2,63364.1,22.02,Medium,31,Male,Hyderabad,Middle,Freelancer,Yes,8,Low,Young Adult,6-10 Years,Home,Prestige,37273,31682.05,5,4358,15
105,1196,147,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,36843.2,12.34,Medium,54,Male,Mumbai,Low,Engineer,Yes,9,Low,Mature Adults,6-10 Years,Home,Milton,46054,36843.2,4.1,4029,20
106,1181,168,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,1,4,80173.4,12.22,Medium,43,Female,Kolkata,Low,Engineer,No,0,High,Mid Career,New Customer,Home,Ikea,21093,20038.35,4.7,2235,5
107,1171,232,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1,3,102089.25,15.09,Medium,63,Female,Hyderabad,Middle,Teacher,No,0,Medium,Seniors,New Customer,Beauty,Maybelline,45373,34029.75,4,2885,25
108,998,37,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,4,159926.4,21.28,Medium,54,Female,Kolkata,Low,Designer,No,0,Medium,Mature Adults,New Customer,Electronics,Apple,49977,39981.6,4.3,5316,20
109,708,162,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,1,29368.8,11.32,Medium,49,Female,Hyderabad,High,Teacher,No,0,Low,Mature Adults,New Customer,Home,Milton,32632,29368.8,4,6266,10
110,1058,246,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,19.78,Medium,20,Male,Delhi,Middle,Business,No,0,Medium,Gen Z,New Customer,Books,Pearson,5563,4728.55,4.3,5163,15
111,416,165,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,11.57,Medium,48,Male,Mumbai,Middle,Teacher,No,0,High,Mature Adults,New Customer,Home,Philips,46744,42069.6,4.5,3631,10
112,1172,83,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,2,1953.6,7.71,Fast,34,Male,Mumbai,Low,Analyst,Yes,2,Medium,Young Adult,1-2 Years,Fashion,H&M,1628,976.8,4.7,3243,40
113,834,17,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1,3,33471,10.76,Medium,65,Female,Pune,Middle,Student,Yes,5,Medium,Seniors,3-5 Years,Electronics,Sony,18595,11157,4.3,596,40
114,689,165,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,22.59,Medium,22,Female,Bengaluru,Middle,Student,No,0,Low,Gen Z,New Customer,Home,Philips,46744,42069.6,4.5,3631,10
115,759,212,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,17.2,Medium,59,Female,Bengaluru,Low,Engineer,No,0,Medium,Seniors,New Customer,Beauty,Maybelline,31094,27984.6,4.2,4248,10
116,854,165,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,2,84149.2,20.72,Medium,27,Female,Chennai,Middle,Analyst,Yes,7,Medium,Young Adult,6-10 Years,Home,Philips,46744,42069.6,4.5,3631,10
117,56,294,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,15020,16.29,Medium,37,Male,Kolkata,Middle,Designer,Yes,5,Medium,Mid Career,3-5 Years,Books,Penguin,25025,15015,4.1,970,40
