ProductID,Category,Brand,OriginalPrice,CurrentPrice,Rating,ReviewCount
106,Fashion,Adidas,49586,34710.2,4.5,4544
107,Fashion,H&M,1106,884.8,4.7,3672
108,Fashion,Nike,29039,23231.2,4.2,3866
109,Fashion,Zara,34741,26055.75,4.0,2073
110,Fashion,Zara,37449,33704.1,4.1,2647
111,Fashion,Adidas,19518,16590.3,5.0,20
112,Fashion,Zara,34538,27630.4,4.6,20
113,Fashion,H&M,30835,26209.75,4.1,4460
114,Fashion,Zara,49439,44495.1,4.3,560
115,Fashion,Adidas,34865,20919.0,4.0,3723
116,Fashion,Nike,21320,14924.0,4.0,2889
117,Fashion,Adidas,10353,6211.8,4.3,1327
118,Fashion,Nike,867,693.6,5.0,3641
119,Fashion,Adidas,13559,12881.05,3.5,2835
120,Fashion,H&M,22194,21084.3,4.0,4034
121,Home,Ikea,41458,24874.8,4.0,2293
122,Home,Philips,4875,3656.25,4.5,4058
123,Home,Philips,23107,23107.0,3.8,1897
124,Home,Philips,18494,14795.2,4.1,1324
125,Home,Milton,38803,31042.4,5.0,3228
126,Home,Prestige,41427,28998.9,3.8,4152
127,Home,Prestige,37273,31682.05,5.0,4358
128,Home,Ikea,39339,35405.1,3.7,1628
129,Home,Ikea,48384,41126.4,4.8,1226
130,Home,Prestige,12186,9748.8,4.5,3894
131,Home,Ikea,8803,6162.1,3.9,2392
132,Home,Prestige,38226,30580.8,3.0,656
133,Home,Milton,14217,12795.3,4.2,253
134,Home,Ikea,15693,13339.05,5.0,20
135,Home,Ikea,40799,36719.1,4.1,2735
136,Home,Philips,11301,6780.6,4.9,20
137,Home,Ikea,21690,20605.5,4.8,2518
138,Home,Ikea,9476,5685.6,3.9,3331
139,Home,Milton,44071,26442.6,4.4,1419
140,Home,Prestige,20328,19311.6,4.3,1806
141,Home,Philips,37209,26046.3,4.3,3691
142,Home,Milton,25766,15459.6,4.9,271
143,Home,Prestige,20931,15698.25,5.0,20
144,Home,Ikea,40174,34147.9,4.2,3558
145,Home,Philips,42034,33627.2,4.4,1379
146,Home,Philips,29155,17493.0,4.2,1612
147,Home,Milton,46054,36843.2,4.1,4029
148,Home,Ikea,37062,25943.4,4.4,1252
149,Home,Prestige,12166,12166.0,4.7,3053
150,Home,Prestige,31044,23283.0,4.6,3633
151,Home,Milton,14510,12333.5,4.0,1491
152,Home,Milton,25023,22520.7,4.6,3598
153,Home,Ikea,13334,8000.4,4.3,2711
154,Home,Prestige,34972,29726.2,4.8,1435
155,Home,Ikea,38916,31132.8,4.5,2136
156,Home,Prestige,6667,5000.25,4.2,4477
157,Home,Prestige,33451,33451.0,4.6,3964
158,Home,Prestige,2697,2157.6,4.8,2537
159,Home,Milton,26602,26602.0,4.6,1941
160,Home,Prestige,18468,18468.0,4.4,2265
161,Home,Ikea,47556,28533.6,4.3,3571
162,Home,Milton,32632,29368.8,4.0,6266
163,Home,Milton,49647,47164.65,3.9,314
164,Home,Ikea,24717,24717.0,4.8,3924
165,Home,Philips,46744,42069.6,4.5,3631
166,Home,Philips,5927,4148.9,4.3,884
167,Home,Ikea,4173,2503.8,4.3,1281
168,Home,Ikea,21093,20038.35,4.7,2235
169,Home,Prestige,13225,13225.0,4.0,1921
170,Home,Prestige,44539,33404.25,4.5,1485
171,Home,Philips,38959,29219.25,4.0,2938
172,Home,Ikea,44048,30833.6,4.4,1587
173,Home,Milton,44259,44259.0,4.1,2917
174,Home,Ikea,13144,11829.6,3.7,20
175,Home,Prestige,6002,5401.8,4.0,2115
176,Home,Milton,3416,2732.8,4.4,5155
177,Home,Philips,45635,31944.5,4.6,2212
178,Home,Philips,42135,42135.0,4.3,695
179,Home,Prestige,18441,13830.75,4.3,1980
180,Home,Ikea,22877,13726.2,4.4,1010
181,Beauty,L'Oreal,37605,22563.0,4.5,5258
182,Beauty,L'Oreal,8119,7713.05,4.3,3223
183,Beauty,Maybelline,48311,45895.45,4.6,1777
184,Beauty,Maybelline,21307,21307.0,4.4,2522
185,Beauty,Maybelline,1184,1006.4,4.3,1108
186,Beauty,Nivea,30669,29135.55,4.3,3396
187,Beauty,Maybelline,20670,17569.5,4.9,4226
188,Beauty,Maybelline,20848,20848.0,5.0,1118
189,Beauty,Lakme,46762,37409.6,4.6,2830
190,Beauty,Maybelline,18782,16903.8,5.0,1045
191,Beauty,Nivea,27630,23485.5,4.0,1421
192,Beauty,Maybelline,18378,15621.3,3.5,1553
193,Beauty,Maybelline,19828,15862.4,4.0,2770
194,Beauty,Lakme,17837,16945.15,4.4,5877
195,Beauty,Lakme,23775,17831.25,4.7,1461
196,Beauty,Nivea,42562,25537.2,3.9,3385
197,Beauty,Maybelline,2907,2034.9,3.8,5796
198,Beauty,Maybelline,35755,30391.75,4.8,1655
199,Beauty,Lakme,23235,18588.0,3.6,4936
200,Beauty,Maybelline,22925,18340.0,4.3,4728
201,Beauty,L'Oreal,34137,29016.45,3.7,1421
202,Beauty,Nivea,14803,8881.8,4.3,2584
203,Beauty,Nivea,2560,2432.0,4.1,3621
204,Beauty,Maybelline,31643,28478.7,3.9,2243
205,Beauty,Lakme,38957,29217.75,4.3,3425
206,Beauty,Nivea,37447,26212.9,4.6,475
207,Beauty,L'Oreal,21626,20544.7,3.7,4799
208,Beauty,Nivea,1017,915.3,4.4,1152
209,Beauty,Lakme,31662,23746.5,4.9,2708
210,Beauty,Nivea,42959,40811.05,4.8,2621
211,Beauty,Maybelline,23962,19169.6,5.0,5659
212,Beauty,Maybelline,31094,27984.6,4.2,4248
213,Beauty,L'Oreal,29270,17562.0,4.6,4963
214,Beauty,Lakme,48403,33882.1,3.9,3734
215,Beauty,Lakme,16463,13170.4,4.7,20
216,Beauty,Nivea,39883,29912.25,3.8,20
217,Beauty,Lakme,44969,31478.3,4.2,3791
218,Beauty,Nivea,3129,2659.65,4.9,2633
219,Beauty,L'Oreal,28089,19662.3,5.0,20
220,Beauty,Nivea,38346,26842.2,3.6,2400
221,Beauty,L'Oreal,11249,10124.1,4.5,2441
222,Beauty,Nivea,39615,33672.75,3.5,2339
223,Beauty,Maybelline,9012,6759.0,3.8,3705
224,Beauty,L'Oreal,6424,5139.2,4.4,808
225,Beauty,Maybelline,23182,13909.2,4.1,593
226,Beauty,Lakme,11335,6801.0,4.3,4219
227,Beauty,L'Oreal,43662,39295.8,3.9,3407
228,Beauty,Maybelline,11776,9420.8,4.1,1072
229,Beauty,Nivea,5767,5190.3,4.3,636
230,Beauty,Maybelline,13824,9676.8,4.1,343
231,Beauty,L'Oreal,47956,40762.6,5.0,2563
232,Beauty,Maybelline,45373,34029.75,4.0,2885
233,Beauty,L'Oreal,31783,28604.7,4.3,2102
234,Beauty,Nivea,7047,4228.2,4.5,3863
235,Beauty,Lakme,46295,39350.75,4.1,1463
236,Beauty,Lakme,44306,31014.2,4.2,20
237,Beauty,Lakme,46783,39765.55,3.7,4960
238,Beauty,L'Oreal,25900,23310.0,5.0,2051
239,Beauty,Nivea,9250,6475.0,4.5,3060
240,Beauty,Nivea,19059,13341.3,5.0,4515
241,Books,Pearson,35503,33727.85,4.2,780
242,Books,Oxford,32501,32501.0,3.7,2866
243,Books,HarperCollins,40380,36342.0,4.0,20
244,Books,HarperCollins,24691,18518.25,4.0,553
245,Books,Oxford,33363,33363.0,5.0,4086
246,Books,Pearson,5563,4728.55,4.3,5163
247,Books,HarperCollins,33264,28274.4,4.3,949
248,Books,Penguin,14343,11474.4,4.9,3470
249,Books,Pearson,6585,4938.75,3.9,2157
250,Books,Pearson,43363,39026.7,3.9,20
251,Books,Pearson,10379,8303.2,4.7,5936
252,Books,Oxford,25850,15510.0,3.7,3513
253,Books,Penguin,17606,12324.2,4.0,1623
254,Books,HarperCollins,11217,7851.9,4.1,944
255,Books,Penguin,30969,29420.55,4.3,1004
256,Books,Oxford,45461,43187.95,4.4,2409
257,Books,Pearson,1301,1170.9,4.2,866
258,Books,Oxford,8937,6255.9,4.1,3859
259,Books,Pearson,1259,755.4,4.5,740
260,Books,Pearson,28186,28186.0,4.3,3852
261,Books,Oxford,28351,22680.8,3.6,3478
262,Books,Penguin,40059,24035.4,4.0,3527
263,Books,Oxford,31534,23650.5,4.0,20
264,Books,Oxford,7818,7036.2,3.6,2586
265,Books,Pearson,35346,24742.2,4.4,872
266,Books,Penguin,10355,10355.0,4.6,20
267,Books,Oxford,46870,37496.0,4.3,320
268,Books,HarperCollins,34244,20546.4,4.0,2585
269,Books,Pearson,3681,2208.6,4.0,1807
270,Books,Oxford,3111,2955.45,4.7,1461
271,Books,Pearson,30662,22996.5,4.6,466
272,Books,Penguin,39777,29832.75,4.5,5094
273,Books,Oxford,28398,21298.5,3.3,1065
274,Books,Oxford,2042,1633.6,4.5,2134
275,Books,HarperCollins,19717,14787.75,4.4,1412
276,Books,Pearson,1648,988.8,4.3,2219
277,Books,Oxford,20008,20008.0,4.8,2957
278,Books,Penguin,23912,23912.0,4.4,1758
279,Books,Pearson,16794,15114.6,4.1,1721
280,Books,Penguin,35560,33782.0,4.5,1742
281,Books,HarperCollins,48130,43317.0,4.4,6235
282,Books,Pearson,28752,23001.6,4.6,1913
283,Books,Oxford,30517,25939.45,4.8,1765
284,Books,Pearson,3163,3004.85,3.5,685
285,Books,Oxford,24931,24931.0,3.6,1867
286,Books,HarperCollins,40434,38412.3,4.3,5517
287,Books,Pearson,34095,32390.25,4.4,2105
288,Books,Oxford,42229,33783.2,4.6,20
289,Books,Pearson,26762,26762.0,4.4,3887
290,Books,HarperCollins,49440,39552.0,3.7,4558
291,Books,Penguin,28905,27459.75,4.4,1752
292,Books,HarperCollins,37914,30331.2,4.6,6587
293,Books,Oxford,40842,34715.7,4.4,2946
294,Books,Penguin,25025,15015.0,4.1,970
295,Books,HarperCollins,29135,23308.0,4.6,959
296,Books,HarperCollins,18643,18643.0,4.3,1640
297,Books,Pearson,12379,9903.2,4.5,3100
298,Books,Oxford,831,581.7,4.7,1581
299,Books,HarperCollins,1726,1208.2,4.2,738
300,Books,HarperCollins,18507,14805.6,4.1,3179
